Sr.No,Name,Price,URL
1,Skybags Brat Black 46 Cms Casual Backpack ,669,https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_1?crid=2M096C61O4MLT&keywords=bags&qid=1692703040&sprefix=ba%2Caps%2C283&sr=8-1
2,American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK) ,"1,199",https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_2?crid=2M096C61O4MLT&keywords=bags&qid=1692703040&sprefix=ba%2Caps%2C283&sr=8-2
3,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover ,849,https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1692703040&sprefix=ba%2Caps%2C283&sr=8-3
4,AmazonBasics - Casual Backpack/Office Bag/ for a 15.6-inch Laptop ,699,https://www.amazon.in/AmazonBasics-Casual-Backpack-Office-15-6-inch/dp/B09W4VMZ79/ref=sxin_17_trfobq2av2_0_B09W4VMZ79?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09W4VMZ79&pd_rd_r=06c1de1a-bfa6-419a-9598-f8c304f1c582&pd_rd_w=BaVbq&pd_rd_wg=GV69Y&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=B0ZKTTS9C19KDC8H868T&qid=1692703040&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-1-973fd8bd-28ce-479e-8be4-fbaf1193947a
5,"MosQuick® Clear large Drawstring Bags Clear Plastic Travel Bags, Travel Garments Organizing Storage Plastic Bags ,Shoe bags , Stationery Bag,multipurpose bag - Translucent ",310,https://www.amazon.in/MosQuick%C2%AE-Drawstring-Organizing-Stationery-multipurpose/dp/B09SB5DP5Y/ref=sxin_17_trfobq2av2_1_B09SB5DP5Y?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09SB5DP5Y&pd_rd_r=06c1de1a-bfa6-419a-9598-f8c304f1c582&pd_rd_w=BaVbq&pd_rd_wg=GV69Y&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=B0ZKTTS9C19KDC8H868T&qid=1692703040&sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-2-973fd8bd-28ce-479e-8be4-fbaf1193947a
6,"Presto! Oxo-Biodegradable Garbage Bags, Large (24 x 32 inches) - 15 bags/roll (Pack of 6, Black, plastic) ",420,https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821PYKVK/ref=sxin_17_trfobq2av2_2_B0821PYKVK?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B0821PYKVK&pd_rd_r=06c1de1a-bfa6-419a-9598-f8c304f1c582&pd_rd_w=BaVbq&pd_rd_wg=GV69Y&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=B0ZKTTS9C19KDC8H868T&qid=1692703040&sbo=Tc8eqSFhUl4VwMzbE4fw%2Fw%3D%3D&sprefix=ba%2Caps%2C283&sr=1-3-973fd8bd-28ce-479e-8be4-fbaf1193947a
7,Amazon Basics Laptop Backpack ,329,https://www.amazon.in/Amazon-Basics-Laptop-Backpack-Repellent/dp/B09W3XLDM2/ref=sxin_17_trfobq2av2_3_B09W3XLDM2?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09W3XLDM2&pd_rd_r=06c1de1a-bfa6-419a-9598-f8c304f1c582&pd_rd_w=BaVbq&pd_rd_wg=GV69Y&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=B0ZKTTS9C19KDC8H868T&qid=1692703040&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-4-973fd8bd-28ce-479e-8be4-fbaf1193947a
8,Blue Tree Kids Backpack Mini Travel Bag 1-6 Years COW ,649,https://www.amazon.in/Backpack-Toddler-Animal-Cartoon-Travel/dp/B08D5RCWV9/ref=sxin_17_trfobq2av2_4_B08D5RCWV9?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08D5RCWV9&pd_rd_r=06c1de1a-bfa6-419a-9598-f8c304f1c582&pd_rd_w=BaVbq&pd_rd_wg=GV69Y&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=B0ZKTTS9C19KDC8H868T&qid=1692703040&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-5-973fd8bd-28ce-479e-8be4-fbaf1193947a
9,"Amazon Brand - Solimo Diaper Backpack, Cat Print ",298,https://www.amazon.in/Amazon-Brand-Solimo-Diaper-Backpack/dp/B08FTHBRPY/ref=sxin_17_trfobq2av2_5_B08FTHBRPY?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08FTHBRPY&pd_rd_r=06c1de1a-bfa6-419a-9598-f8c304f1c582&pd_rd_w=BaVbq&pd_rd_wg=GV69Y&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=B0ZKTTS9C19KDC8H868T&qid=1692703040&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-6-973fd8bd-28ce-479e-8be4-fbaf1193947a
10,Dyazo Slim 15.6 inch Laptop Backpack Business Notebook computer bag suitable for office College School Men & Women ,"1,349",https://www.amazon.in/Dyazo-Backpack-Business-Notebook-computer/dp/B0C7HC675G/ref=sxin_17_trfobq2av2_6_B0C7HC675G?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B0C7HC675G&pd_rd_r=06c1de1a-bfa6-419a-9598-f8c304f1c582&pd_rd_w=BaVbq&pd_rd_wg=GV69Y&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=B0ZKTTS9C19KDC8H868T&qid=1692703040&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-7-973fd8bd-28ce-479e-8be4-fbaf1193947a
